id,vin,brand,model,year,price
1,VIN00000000000001,Toyota,Corolla,2010,8000
2,VIN00000000000002,Honda,Civic,2011,8500
3,VIN00000000000003,Ford,Focus,2012,7500
4,VIN00000000000004,Nissan,Altima,2013,9000
5,VIN00000000000005,Chevrolet,Cruze,2014,8500
6,VIN00000000000006,Hyundai,Elantra,2010,7800
7,VIN00000000000007,Kia,Rio,2011,8000
8,VIN00000000000008,Volkswagen,Golf,2012,9500
9,VIN00000000000009,Mazda,Mazda3,2013,8700
10,VIN00000000000010,Subaru,Impreza,2014,9200
11,VIN00000000000011,Audi,A3,2015,15000
12,VIN00000000000012,BMW,3 Series,2016,20000
13,VIN00000000000013,Mercedes,C-Class,2017,22000
14,VIN00000000000014,Lexus,IS,2015,21000
15,VIN00000000000015,Infiniti,Q50,2016,19000
16,VIN00000000000016,Acura,TLX,2017,23000
17,VIN00000000000017,Volvo,S60,2018,24000
18,VIN00000000000018,Cadillac,ATS,2014,18000
19,VIN00000000000019,Jaguar,XE,2015,25000
20,VIN00000000000020,Alfa Romeo,Giulia,2016,26000
21,VIN00000000000021,Ford,Fusion,2013,8000
22,VIN00000000000022,Honda,Accord,2012,8500
23,VIN00000000000023,Toyota,Camry,2011,9000
24,VIN00000000000024,Nissan,Sentra,2010,7500
25,VIN00000000000025,Chevrolet,Malibu,2018,12000
26,VIN00000000000026,Hyundai,Sonata,2017,11000
27,VIN00000000000027,Kia,Optima,2016,10500
28,VIN00000000000028,Volkswagen,Passat,2015,11500
29,VIN00000000000029,Mazda,Mazda6,2014,9800
30,VIN00000000000030,Subaru,Legacy,2013,9500
