id,date,status,sum,process,orders_id
1,2020-04-01 00:00:00 +0000 +0000,true,8100,Наличные,1
2,2020-04-02 00:00:00 +0000 +0000,false,8200,Карта,2
3,2020-04-03 00:00:00 +0000 +0000,true,8300,Наличные,3
4,2020-04-04 00:00:00 +0000 +0000,false,8400,Карта,4
5,2020-04-05 00:00:00 +0000 +0000,true,8500,Наличные,5
6,2020-04-06 00:00:00 +0000 +0000,false,8600,Карта,6
7,2020-04-07 00:00:00 +0000 +0000,true,8700,Наличные,7
8,2020-04-08 00:00:00 +0000 +0000,false,8800,Карта,8
9,2020-04-09 00:00:00 +0000 +0000,true,8900,Наличные,9
10,2020-04-10 00:00:00 +0000 +0000,false,9000,Карта,10
11,2020-04-11 00:00:00 +0000 +0000,true,9100,Наличные,11
12,2020-04-12 00:00:00 +0000 +0000,false,9200,Карта,12
13,2020-04-13 00:00:00 +0000 +0000,true,9300,Наличные,13
14,2020-04-14 00:00:00 +0000 +0000,false,9400,Карта,14
15,2020-04-15 00:00:00 +0000 +0000,true,9500,Наличные,15
16,2020-04-16 00:00:00 +0000 +0000,false,9600,Карта,16
17,2020-04-17 00:00:00 +0000 +0000,true,9700,Наличные,17
18,2020-04-18 00:00:00 +0000 +0000,false,9800,Карта,18
19,2020-04-19 00:00:00 +0000 +0000,true,9900,Наличные,19
20,2020-04-20 00:00:00 +0000 +0000,false,10000,Карта,20
21,2020-04-21 00:00:00 +0000 +0000,true,10100,Наличные,21
22,2020-04-22 00:00:00 +0000 +0000,false,10200,Карта,22
23,2020-04-23 00:00:00 +0000 +0000,true,10300,Наличные,23
24,2020-04-24 00:00:00 +0000 +0000,false,10400,Карта,24
25,2020-04-25 00:00:00 +0000 +0000,true,10500,Наличные,25
26,2020-04-26 00:00:00 +0000 +0000,false,10600,Карта,26
27,2020-04-27 00:00:00 +0000 +0000,true,10700,Наличные,27
28,2020-04-28 00:00:00 +0000 +0000,false,10800,Карта,28
29,2020-04-29 00:00:00 +0000 +0000,true,10900,Наличные,29
30,2020-04-30 00:00:00 +0000 +0000,false,11000,Карта,30
31,2020-04-01 00:00:00 +0000 +0000,true,8100,Наличные,1
32,2020-04-02 00:00:00 +0000 +0000,false,8200,Карта,2
33,2020-04-03 00:00:00 +0000 +0000,true,8300,Наличные,3
34,2020-04-04 00:00:00 +0000 +0000,false,8400,Карта,4
35,2020-04-05 00:00:00 +0000 +0000,true,8500,Наличные,5
36,2020-04-06 00:00:00 +0000 +0000,false,8600,Карта,6
37,2020-04-07 00:00:00 +0000 +0000,true,8700,Наличные,7
38,2020-04-08 00:00:00 +0000 +0000,false,8800,Карта,8
39,2020-04-09 00:00:00 +0000 +0000,true,8900,Наличные,9
40,2020-04-10 00:00:00 +0000 +0000,false,9000,Карта,10
41,2020-04-11 00:00:00 +0000 +0000,true,9100,Наличные,11
42,2020-04-12 00:00:00 +0000 +0000,false,9200,Карта,12
43,2020-04-13 00:00:00 +0000 +0000,true,9300,Наличные,13
44,2020-04-14 00:00:00 +0000 +0000,false,9400,Карта,14
45,2020-04-15 00:00:00 +0000 +0000,true,9500,Наличные,15
46,2020-04-16 00:00:00 +0000 +0000,false,9600,Карта,16
47,2020-04-17 00:00:00 +0000 +0000,true,9700,Наличные,17
48,2020-04-18 00:00:00 +0000 +0000,false,9800,Карта,18
49,2020-04-19 00:00:00 +0000 +0000,true,9900,Наличные,19
50,2020-04-20 00:00:00 +0000 +0000,false,10000,Карта,20
51,2020-04-21 00:00:00 +0000 +0000,true,10100,Наличные,21
52,2020-04-22 00:00:00 +0000 +0000,false,10200,Карта,22
53,2020-04-23 00:00:00 +0000 +0000,true,10300,Наличные,23
54,2020-04-24 00:00:00 +0000 +0000,false,10400,Карта,24
55,2020-04-25 00:00:00 +0000 +0000,true,10500,Наличные,25
56,2020-04-26 00:00:00 +0000 +0000,false,10600,Карта,26
57,2020-04-27 00:00:00 +0000 +0000,true,10700,Наличные,27
58,2020-04-28 00:00:00 +0000 +0000,false,10800,Карта,28
59,2020-04-29 00:00:00 +0000 +0000,true,10900,Наличные,29
60,2020-04-30 00:00:00 +0000 +0000,false,11000,Карта,30
